ProbeModel:"FP-2X-250-ZS30M-15",ProbeSerial:"FP101244",ProbeCalDate:"7-19-2021",ProbeOrientation:"MULTIAXIS",ProbeType:"2Dex",AveragingOn:True,AveragingNum:5,MeasureTime:20,DwellOn:True,DwellTime:500,StopForMeas:True,PointsX:51,PointsY:51,PointsZ:26,PointsMeasured:3618,
Num,Date,Time,Xset,Yset,Zset,Xpos,Ypos,Zpos,Bm,BmSD,Bx,BxSD,By,BySD,Bz,BzSD,Temp C,IndexX,IndexY,IndexZ,
1,2024-10-04,02:55:15.731,0,0,0,-0.0001,0,0,48.8576833658571,0.000232959493597235,-2.53752185726166,0.000211915611209026,-0.547697165489197,0.000416015099522654,48.7886693725581,0.000284099887884523,21.8480396270752,0,0,0,
2,2024-10-04,02:55:19.023,1,0,0,1.00003,0,0,48.8624818978242,0.000268627315190792,-2.53587207126617,0.000277377719123386,-0.548864677906036,0.000291865601016527,48.793538375853,0.000211519385317611,21.8381252288818,1,0,0,
3,2024-10-04,02:55:22.490,2,0,0,2.00006,0,0,48.8677589544836,0.000298877374904845,-2.53582447052002,0.000291699310957545,-0.550361534357071,0.000450405162559673,48.7988695068355,0.000358662319897729,21.8329963684082,2,0,0,
4,2024-10-04,02:55:25.927,3,0,0,3.00003,0,0,48.8728878696046,0.000397977397941736,-2.5350220413208,0.000388846549102977,-0.552849034547131,0.000518401550009954,48.8039790344238,0.000376161006287586,21.8403854370117,3,0,0,
5,2024-10-04,02:55:29.467,4,0,0,4.00006,0,0,48.8778045136671,0.000355567591899039,-2.53409788513184,0.00036171525016825,-0.553601053236468,0.000238063820449345,48.8089301605213,0.000553119583427315,21.8423881530762,4,0,0,
6,2024-10-04,02:55:32.933,5,0,0,5.00003,0,0,48.8828840424795,0.000363585043218603,-2.53156395816608,0.000350563102441284,-0.555558836219771,0.00021155680449627,48.8141259307861,0.000418321767746096,21.8431224822998,5,0,0,
7,2024-10-04,02:55:36.496,6,0,0,6.00004,0,0,48.8878314779351,0.000298253448367626,-2.52408220195657,0.000292799202909873,-0.555233613729477,0.000222312578132434,48.8194723358138,0.000316405253567701,21.8409557342529,6,0,0,
8,2024-10-04,02:55:40.145,7,0,0,7.00004,0,0,48.8927237523882,0.000302908639579461,-2.52121784114712,0.000286224450842254,-0.556604557514191,0.000521295933593742,48.8244997406006,0.000567833032526654,21.8318119049072,7,0,0,
9,2024-10-04,02:55:43.691,8,0,0,8.00004,0,0,48.8979904505935,0.000323479894148155,-2.51411618423462,0.000315339525587771,-0.557721694946289,0.000388353066735806,48.8301336212145,0.000625278214794699,21.8334674835205,8,0,0,
10,2024-10-04,02:55:47.218,9,0,0,9.00004,0,0,48.9034357502921,0.000248549615534262,-2.50760572910309,0.000249539864622011,-0.559816200015869,5.46713623219718E-05,48.8358893737793,0.000372620413159705,21.8226871490479,9,0,0,
11,2024-10-04,02:55:50.689,10,0,0,10.00007,0,0,48.9085001533277,0.000306700405468631,-2.50200965213631,0.000299874847158631,-0.561010756491672,0.000414696271541131,48.8412388763424,0.000279755199075346,21.8246326446533,10,0,0,
12,2024-10-04,02:55:54.212,11,0,0,11.00007,0,0,48.9138550050222,0.000152219827039111,-2.49568592071533,0.000143401172997523,-0.563127064704895,0.000375023607925343,48.8469101562491,0.0002786821594435,21.8222541809082,11,0,0,
13,2024-10-04,02:55:57.464,12,0,0,12.00004,0,0,48.9185480733934,0.000309766754458825,-2.49072613906813,0.000238179257182983,-0.564643524646759,0.00025460238583927,48.8519047088623,0.000451826811157775,21.8231353759766,12,0,0,
14,2024-10-04,02:56:00.805,13,0,0,13.00007,0,0,48.9239592279196,0.00038294732464353,-2.48892902755737,0.000381637569402364,-0.566352136611938,0.000220626443468406,48.85732559204,0.000178582919482807,21.8215961456299,13,0,0,
15,2024-10-04,02:56:04.384,14,0,0,14.00002,0,0,48.9279304644256,0.000423846665891019,-2.48682457447052,0.000421169093614346,-0.567375922202069,0.000237743330145394,48.8613997650143,0.000469786367731997,21.8288021087646,14,0,0,
16,2024-10-04,02:56:07.672,15,0,0,15.00002,0,0,48.9335290012761,0.000220122052388974,-2.49016522026062,0.000208175526141737,-0.569203289507201,0.000466369101593398,48.8668260345441,0.000307093697673133,21.8275127410889,15,0,0,
17,2024-10-04,02:56:11.161,16,0,0,16.00002,0,0,48.9380294463116,0.00042907155741188,-2.49261283397674,0.000450280716680429,-0.570262509583865,0.000463661474785055,48.8711887207014,0.00027830425518393,21.8274745941162,16,0,0,
18,2024-10-04,02:56:14.633,17,0,0,17.00002,0,0,48.9429777380633,0.000183785817417039,-2.49754703903198,0.000195319506405718,-0.571103954074666,0.000378682518515897,48.8758776702881,0.000216950941199334,21.8333377838135,17,0,0,
19,2024-10-04,02:56:18.149,18,0,0,18.00002,0,0,48.9471050331235,0.000261008462690374,-2.50154013442993,0.000263305372199569,-0.57192684173584,0.0001894783956165,48.8797890319809,0.000481437695429332,21.8328399658203,18,0,0,
20,2024-10-04,02:56:21.385,19,0,0,19.00002,0,0,48.9518521845124,0.000279923545450908,-2.50640663909912,0.000271728006015021,-0.572533544301987,0.000156502301793033,48.8842915801983,0.000259676210105188,21.8347339630127,19,0,0,
21,2024-10-04,02:56:25.047,20,0,0,20.00005,0,0,48.9559384493799,0.000229859506566077,-2.51270510673347,0.00024355444766974,-0.573480201244355,0.000301729860094503,48.8880445251465,0.000495748776572338,21.8233699798584,20,0,0,
22,2024-10-04,02:56:28.381,21,0,0,21.00002,0,0,48.960181507277,0.000388272328097912,-2.51300011157989,0.000388016384986379,-0.57420338749733,0.000121958057786111,48.8922733001709,0.000469224704089015,21.8245029449463,21,0,0,
23,2024-10-04,02:56:31.906,22,0,0,22.00002,0,0,48.9649636668955,0.000387045843571727,-2.51922675991058,0.000387618036497554,-0.574950913665784,0.000428837265137817,48.8967383422852,0.000263190731839871,21.8207149505615,22,0,0,
24,2024-10-04,02:56:35.415,23,0,0,23.00003,0,0,48.9686998942307,0.000343018958058645,-2.51780490779877,0.000343844849900787,-0.575805334089879,9.45009920649588E-05,48.900540725708,0.000409050203408162,21.818452835083,23,0,0,
25,2024-10-04,02:56:38.890,24,0,0,24.00003,0,0,48.9729060959562,0.000246484518739793,-2.52260891628265,0.000253555974614093,-0.577176856278507,0.000238679615221193,48.9044871826163,0.000499867892013143,21.8157329559326,24,0,0,
26,2024-10-04,02:56:42.436,25,0,0,25.00006,0,0,48.9761075703815,0.000291899783700339,-2.52029433154948,0.000282691632210651,-0.578382563114166,0.00025250375308804,48.9078013305664,0.000121840784369115,21.8175849914551,25,0,0,
27,2024-10-04,02:56:45.723,26,0,0,26.00003,0,0,48.9801333478252,0.000197620497554854,-2.52425329017639,0.000199502376236297,-0.579463171243668,0.00055435835271616,48.9115985412598,0.000310067273293151,21.8193874359131,26,0,0,
28,2024-10-04,02:56:49.266,27,0,0,27.00003,0,0,48.9829924392103,0.000339469667473983,-2.52246086787982,0.000313454867969449,-0.580971657276154,0.000498023937011265,48.9145500946045,0.000425104864296485,21.8252124786377,27,0,0,
29,2024-10-04,02:56:52.891,28,0,0,28.00003,0,0,48.9865017735397,0.000169487432059673,-2.52948635482788,0.000158767293557443,-0.582497710943128,0.000474053061741963,48.9176891784668,0.000409370374544615,21.8181476593018,28,0,0,
30,2024-10-04,02:56:56.458,29,0,0,29.00003,0,0,48.9893983673753,0.000518981363412724,-2.5276697101593,0.00053361855689114,-0.583336279392186,0.000313935795173297,48.9206639862052,0.000442885393459795,21.8103408813477,29,0,0,
31,2024-10-04,02:56:59.967,30,0,0,30.00003,0,0,48.9923375259297,0.000378474879152965,-2.53128601550951,0.000360320194162548,-0.584381309270185,0.000200220840123108,48.9234217376709,0.000316774534661094,21.8108615875244,30,0,0,
32,2024-10-04,02:57:03.286,31,0,0,31.00006,0,0,48.9951278366707,0.000386327139039428,-2.53420753002167,0.000403121527058843,-0.585061748743058,0.000364883240617451,48.9260484466546,0.000318544905391241,21.8083305358887,31,0,0,
33,2024-10-04,02:57:06.662,32,0,0,32.00004,0,0,48.9976368635419,0.00047161609012026,-2.53793822288513,0.000480534481406426,-0.585934042691097,0.00037481545253201,48.92835546875,0.000278561045558475,21.8121013641357,32,0,0,
34,2024-10-04,02:57:09.980,33,0,0,33.00004,0,0,49.000122801172,0.000321251718162678,-2.54096521282196,0.000329117398126336,-0.586240910768509,0.000302370712511578,48.9306818542452,0.000164030669524939,21.816967010498,33,0,0,
35,2024-10-04,02:57:13.497,34,0,0,34.00007,0,0,49.0022077231185,0.000173464614598344,-2.54262873935608,0.000171406597460524,-0.586445506811142,0.000344970349537263,48.9326884002672,0.000367511110672436,21.8109722137451,34,0,0,
36,2024-10-04,02:57:16.753,35,0,0,35.00007,0,0,49.0045604760261,0.000318737205500149,-2.54714640331268,0.000316425667238767,-0.58668825006485,0.000145478656182435,48.9348029022213,0.000406261382216443,21.8069725036621,35,0,0,
37,2024-10-04,02:57:20.312,36,0,0,36.00004,0,0,49.006372651597,0.000310081751387432,-2.54777239513309,0.000306035926875877,-0.586956443548106,0.000275850421702504,48.9365789031983,0.000450100967789218,21.809944152832,36,0,0,
38,2024-10-04,02:57:23.731,37,0,0,37.00007,0,0,49.0081546439038,0.000445612016674501,-2.55139912319183,0.000444826820570201,-0.586705610513687,0.000352837838058181,48.9381846466064,0.000420424052702543,21.8094367980957,37,0,0,
39,2024-10-04,02:57:27.104,38,0,0,38.00004,0,0,49.0096748621067,0.000351402552712681,-2.55054345798444,0.000357404417943393,-0.587389579772949,0.000297496515388179,48.9397313995358,0.00026628189431129,21.8009662628174,38,0,0,
40,2024-10-04,02:57:30.634,39,0,0,39.00004,0,0,49.0108161729984,0.000288782213423656,-2.55592513656565,0.000278480645767209,-0.587409852027893,0.000256778278253514,48.940599685669,0.000800481444222596,21.7974796295166,39,0,0,
41,2024-10-04,02:57:34.194,40,0,0,40.00002,0,0,49.0124973974748,0.000188192500619963,-2.55616832828522,0.000228404992707789,-0.588562978982925,0.000437202908393963,48.9423340759278,0.000476633140000203,21.7942981719971,40,0,0,
42,2024-10-04,02:57:37.853,41,0,0,41.00005,0,0,49.01369504661,0.000364118839105021,-2.55915878200531,0.000373889035098082,-0.588545860767364,0.000319895422882607,48.9432798309326,0.000351122590352377,21.7896842956543,41,0,0,
